roadid	type	label    	city    	oneway	speed	roadclass	notforcar	notforpede	notforbicy
173	10	katui rd	donnellys crossing	0	3	0	0	0	0
175	6	kai iwi lakes rd	omamari	0	3	0	0	0	0
176	6	kai iwi lakes rd	omamari	0	3	0	0	0	0
177	10	aranga coast rd	aranga	0	3	0	0	0	0
178	10	aranga coast rd	aranga	0	3	0	0	0	0
179	10	donnellys station rd	donnellys crossing	0	3	0	0	0	0
180	10	katui rd	donnellys crossing	0	3	0	0	0	0
181	10	katui rd	donnellys crossing	0	3	0	0	0	0
182	6	old mill rd	donnellys crossing	0	3	0	0	0	0
183	10	kaikohe rd	waimatenui	0	3	0	0	0	0
184	10	old mill rd	donnellys crossing	0	3	0	0	0	0
185	10	aranga station rd	aranga	0	3	0	0	0	0
187	6	monteith rd	aranga	0	3	0	0	0	0
188	6	aranga coast rd	aranga	0	3	0	0	0	0
189	10	monteith rd	aranga	0	3	0	0	0	0
190	10	trounson park rd	donnellys crossing	0	3	0	0	0	0
193	10	monteith rd	aranga	0	3	0	0	0	0
194	10	monteith rd	aranga	0	3	0	0	0	0
195	10	trounson park rd	donnellys crossing	0	3	0	0	0	0
196	10	morgan rd	donnellys crossing	0	3	0	0	0	0
197	10	monteith rd	aranga	0	3	0	0	0	0
199	10	waoku rd	tutamoe	0	3	0	0	0	0
202	10	mclean rd	donnellys crossing	0	3	0	0	0	0
203	6	trounson park rd	kaihu	0	3	0	0	0	0
204	10	kaikohe rd	waimatenui	0	3	0	0	0	0
205	6	kai iwi lakes rd	omamari	0	3	0	0	0	0
208	6	aranga station rd	aranga	0	3	0	0	0	0
210	10	monteith rd	aranga	0	3	0	0	0	0
211	10	waima river rd	donnellys crossing	0	3	0	0	0	0
212	6	domain rd	maropiu	0	3	0	0	0	0
213	6	kai iwi lakes rd	omamari	0	3	0	0	0	0
214	10	mangatu rd	donnellys crossing	0	3	0	0	0	0
215	10	mangatu rd	donnellys crossing	0	3	0	0	0	0
216	10	jones rd	donnellys crossing	0	3	0	0	0	0
217	10	mangatu rd	donnellys crossing	0	3	0	0	0	0
218	10	waima river rd	donnellys crossing	0	3	0	0	0	0
219	6	kai iwi lakes rd	omamari	0	3	0	0	0	0
224	6	hansen rd	aranga	0	3	0	0	0	0
225	10	kaikohe rd	waimatenui	0	3	0	0	0	0
226	10	kaikohe rd	waimatenui	0	3	0	0	0	0
227	10	mangatu rd	donnellys crossing	0	3	0	0	0	0
229	6	aranga station rd	aranga	0	3	0	0	0	0
230	10	kaikohe rd	waimatenui	0	3	0	0	0	0
232	6	omamari rd	omamari	0	3	0	0	0	0
233	6	omamari rd	omamari	0	3	0	0	0	0
235	10	kaikohe rd	waimatenui	0	3	0	0	0	0
236	6	omamari rd	omamari	0	3	0	0	0	0
237	6	omamari rd	omamari	0	3	0	0	0	0
238	10	foster rd	donnellys crossing	0	3	0	0	0	0
240	10	monteith south rd	aranga	0	3	0	0	0	0
241	10	monteith rd	aranga	0	3	0	0	0	0
242	6	omamari rd	omamari	0	3	0	0	0	0
243	6	omamari beach rd	omamari	0	3	0	0	0	0
244	6	omamari beach rd	omamari	0	3	0	0	0	0
245	10	babylon coast rd	omamari	0	3	0	0	0	0
246	6	omamari rd	omamari	0	3	0	0	0	0
247	10	parker rd	waimatenui	0	3	0	0	0	0
248	10	parker rd	waimatenui	0	3	0	0	0	0
250	10	jones rd	donnellys crossing	0	3	0	0	0	0
253	10	parker rd	waimatenui	0	3	0	0	0	0
255	10	opouteke rd	kaihu	0	3	0	0	0	0
256	6	trounson park rd	kaihu	0	3	0	0	0	0
257	10	kaikohe rd	waimatenui	0	3	0	0	0	0
262	6	trounson park rd	kaihu	0	3	0	0	0	0
268	10	monteith south rd	aranga	0	3	0	0	0	0
272	10	ruapehu rd	kaihu	0	3	0	0	0	0
274	10	aspiring rd	kaihu	0	3	0	0	0	0
275	10	aspiring rd	kaihu	0	3	0	0	0	0
276	10	aspiring rd	kaihu	0	3	0	0	0	0
277	10	parker rd	waimatenui	0	3	0	0	0	0
279	6	trounson park rd	kaihu	0	3	0	0	0	0
281	6	omamari rd	maropiu	0	3	0	0	0	0
282	6	airstrip rd	omamari	0	3	0	0	0	0
284	6	airstrip rd	omamari	0	3	0	0	0	0
289	6	omamari rd	maropiu	0	3	0	0	0	0
290	10	egmont rd	kaihu	0	3	0	0	0	0
291	10	cook rd	kaihu	0	3	0	0	0	0
292	6	airstrip rd	omamari	0	3	0	0	0	0
293	6	kaihu wood rd	kaihu	0	3	0	0	0	0
296	6	kaihu station rd	kaihu	0	3	0	0	0	0
297	6	kaihu wood rd	kaihu	0	3	0	0	0	0
299	10	baker rd	kaihu	0	3	0	0	0	0
300	10	baker rd	kaihu	0	3	0	0	0	0
301	10	kaihu wood rd	kaihu	0	3	0	0	0	0
302	6	omamari rd	maropiu	0	3	0	0	0	0
303	10	kaikohe rd	waimatenui	0	3	0	0	0	0
304	10	joyce rd	donnellys crossing	0	3	0	0	0	0
306	10	opouteke rd	kaihu	0	3	0	0	0	0
308	10	kaihu wood rd	kaihu	0	3	0	0	0	0
309	6	mataraua rd	waimatenui	0	3	0	0	0	0
310	10	mataraua rd	waimatenui	0	3	0	0	0	0
311	10	opouteke rd	kaihu	0	3	0	0	0	0
312	10	kaikohe rd	waimatenui	0	3	0	0	0	0
314	10	waimatenui east rd	waimatenui	0	3	0	0	0	0
315	6	omamari rd	maropiu	0	3	0	0	0	0
316	10	waipara rd	kaihu	0	3	0	0	0	0
317	10	kaihu wood rd	kaihu	0	3	0	0	0	0
318	10	noall rd	donnellys crossing	0	3	0	0	0	0
319	10	noall rd	donnellys crossing	0	3	0	0	0	0
320	10	noall rd	donnellys crossing	0	3	0	0	0	0
322	10	tasman rd	kaihu	0	3	0	0	0	0
323	10	tasman rd	kaihu	0	3	0	0	0	0
324	6	maitahi rd	mamaranui	0	3	0	0	0	0
325	6	maitahi rd	mamaranui	0	3	0	0	0	0
326	6	omamari rd	maropiu	0	3	0	0	0	0
327	10	rapahoe rd	waimatenui	0	3	0	0	0	0
328	10	mataraua rd	waimatenui	0	3	0	0	0	0
330	6	ahikiwi rd	kaihu	0	3	0	0	0	0
334	10	waiotekumurau rd	donnellys crossing	0	3	0	0	0	0
335	10	waiowhata rd	donnellys crossing	0	3	0	0	0	0
336	10	waiotekumurau rd	donnellys crossing	0	3	0	0	0	0
337	10	opouteke rd	kaihu	0	3	0	0	0	0
340	10	waimatenui east rd	waimatenui	0	3	0	0	0	0
341	6	kaihu wood rd	kaihu	0	3	0	0	0	0
342	10	ahikiwi rd	kaihu	0	3	0	0	0	0
343	10	ahikiwi rd	kaihu	0	3	0	0	0	0
344	10	opouteke rd	kaihu	0	3	0	0	0	0
345	10	seeton rd	kaihu	0	3	0	0	0	0
346	10	ahikiwi rd	kaihu	0	3	0	0	0	0
347	10	pakotai rd	donnellys crossing	0	3	0	0	0	0
348	10	basin rd	omamari	0	3	0	0	0	0
349	10	basin rd	omamari	0	3	0	0	0	0
350	6	maropiu rd	mamaranui	0	3	0	0	0	0
351	10	maropiu settlement rd	mamaranui	0	3	0	0	0	0
352	10	basin rd	omamari	0	3	0	0	0	0
353	10	baylys basin rd	baylys beach	0	3	0	0	0	0
354	10	maropiu rd	mamaranui	0	3	0	0	0	0
355	10	roadway	auckland	0	3	0	0	0	0
356	10	te ruihi rd	mamaranui	0	3	0	0	0	0
357	10	maropiu settlement rd	mamaranui	0	3	0	0	0	0
358	6	maitahi rd	mamaranui	0	3	0	0	0	0
360	10	opouteke rd	kaihu	0	3	0	0	0	0
361	10	pyrenees rd	kaihu	0	3	0	0	0	0
362	6	bayly st	baylys beach	0	3	0	0	0	0
363	6	sea view rd	baylys beach	0	3	0	0	0	0
365	6	cynthia pl	baylys beach	0	3	0	0	0	0
366	6	cynthia pl	baylys beach	0	3	0	0	0	0
367	10	roadway	auckland	0	3	0	0	0	0
368	10	maropiu settlement rd	mamaranui	0	3	0	0	0	0
369	10	maropiu rd	mamaranui	0	3	0	0	0	0
370	6	kelly st	baylys beach	0	3	0	0	0	0
371	6	kelly st	baylys beach	0	3	0	0	0	0
373	6	kelly st	baylys beach	0	3	0	0	0	0
374	6	cynthia pl	baylys beach	0	3	0	0	0	0
375	6	coates ave	baylys beach	0	3	0	0	0	0
376	6	ripiro dr	baylys beach	0	3	0	0	0	0
378	6	ripiro dr	baylys beach	0	3	0	0	0	0
379	6	moeatoa lane	baylys beach	0	3	0	0	0	0
380	6	ripiro dr	baylys beach	0	3	0	0	0	0
381	10	mamaranui rd	mamaranui	0	3	0	0	0	0
386	6	ripiro dr	baylys beach	0	3	0	0	0	0
387	10	waihue rd	mamaranui	0	3	0	0	0	0
389	6	baylys coast rd	baylys beach	0	3	0	0	0	0
390	10	ural rd	kaihu	0	3	0	0	0	0
391	10	ural rd	kaihu	0	3	0	0	0	0
392	10	ural rd	kaihu	0	3	0	0	0	0
393	6	gammon rd	awarua	0	3	0	0	0	0
394	10	daisy rd	awarua	0	3	0	0	0	0
395	10	gammon rd	awarua	0	3	0	0	0	0
397	10	opouteke rd	kaihu	0	3	0	0	0	0
399	6	baylys coast rd	baylys beach	0	3	0	0	0	0
400	10	opouteke rd	kaihu	0	3	0	0	0	0
401	10	shepherd rd	mamaranui	0	3	0	0	0	0
402	10	maropiu settlement rd	mamaranui	0	3	0	0	0	0
403	10	yukon rd	kaihu	0	3	0	0	0	0
404	10	yukon rd	kaihu	0	3	0	0	0	0
405	10	opouteke rd	kaihu	0	3	0	0	0	0
406	10	kaimai rd	opouteke	0	3	0	0	0	0
408	10	waimatenui east rd	waimatenui	0	3	0	0	0	0
409	10	opouteke rd	kaihu	0	3	0	0	0	0
410	10	cascade rd	opouteke	0	3	0	0	0	0
411	10	gibraltar rd	opouteke	0	3	0	0	0	0
412	10	ruahine rd	kaihu	0	3	0	0	0	0
413	10	urewera rd	kaihu	0	3	0	0	0	0
414	10	kaimai rd	opouteke	0	3	0	0	0	0
417	10	ural rd	kaihu	0	3	0	0	0	0
418	10	sierra rd	opouteke	0	3	0	0	0	0
420	10	gammon rd	awarua	0	3	0	0	0	0
421	10	iris rd	awarua	0	3	0	0	0	0
423	10	baylys basin rd	baylys beach	0	3	0	0	0	0
424	10	gibraltar rd	opouteke	0	3	0	0	0	0
425	6	baylys coast rd	baylys beach	0	3	0	0	0	0
426	10	rehutai rd	baylys beach	0	3	0	0	0	0
427	10	cascade rd	opouteke	0	3	0	0	0	0
428	10	daffodil rd	awarua	0	3	0	0	0	0
429	10	lotus rd	awarua	0	3	0	0	0	0
430	10	lotus rd	awarua	0	3	0	0	0	0
431	6	waihue rd	mamaranui	0	3	0	0	0	0
432	10	gammon rd	awarua	0	3	0	0	0	0
433	10	waimatenui rd	nukutawhiti	0	3	0	0	0	0
435	10	opanake rd	mamaranui	0	3	0	0	0	0
436	10	rehutai rd	baylys beach	0	3	0	0	0	0
437	10	gibraltar rd	opouteke	0	3	0	0	0	0
438	10	alp rd	pakotai	0	3	0	0	0	0
440	10	waihue rd	mamaranui	0	3	0	0	0	0
443	10	henley rd	awarua	0	3	0	0	0	0
444	10	iris rd	awarua	0	3	0	0	0	0
448	10	palmer rd	awarua	0	3	0	0	0	0
449	10	henley rd	awarua	0	3	0	0	0	0
450	6	ward block rd	mamaranui	0	3	0	0	0	0
452	10	rehutai rd	baylys beach	0	3	0	0	0	0
453	10	palmer rd	awarua	0	3	0	0	0	0
454	10	palmer rd	awarua	0	3	0	0	0	0
455	10	collins rd	mamaranui	0	3	0	0	0	0
456	10	sierra rd	opouteke	0	3	0	0	0	0
457	10	gibraltar rd	opouteke	0	3	0	0	0	0
458	10	maropiu rd	mamaranui	0	3	0	0	0	0
460	10	dampier rd	pakotai	0	3	0	0	0	0
461	10	murchison rd	auckland	0	3	0	0	0	0
463	10	pisa rd	pakotai	0	3	0	0	0	0
464	10	pisa rd	pakotai	0	3	0	0	0	0
465	6	pisa rd	pakotai	0	3	0	0	0	0
466	10	dampier rd	pakotai	0	3	0	0	0	0
467	10	mitre rd	pakotai	0	3	0	0	0	0
468	6	ward block rd	mamaranui	0	3	0	0	0	0
469	10	kaimaro rd	pakotai	0	3	0	0	0	0
471	10	dampier rd	pakotai	0	3	0	0	0	0
472	10	kaikoura rd	pakotai	0	3	0	0	0	0
473	10	maropiu rd	mamaranui	0	3	0	0	0	0
476	10	kaimai rd	opouteke	0	3	0	0	0	0
477	6	ward block rd	mamaranui	0	3	0	0	0	0
478	10	kaimaro rd	pakotai	0	3	0	0	0	0
479	10	copper mine rd	pakotai	0	3	0	0	0	0
480	10	rehutai rd	baylys beach	0	3	0	0	0	0
483	10	waimatenui rd	nukutawhiti	0	3	0	0	0	0
484	10	copper mine rd	pakotai	0	3	0	0	0	0
485	10	wells rd	pakotai	0	3	0	0	0	0
487	10	okaharau rd	pakotai	0	3	0	0	0	0
489	10	copper mine rd	pakotai	0	3	0	0	0	0
490	10	wells rd	pakotai	0	3	0	0	0	0
491	10	rimutaka rd	pakotai	0	3	0	0	0	0
492	10	okaharau rd	pakotai	0	3	0	0	0	0
494	6	frith rd	mamaranui	0	3	0	0	0	0
496	10	gibraltar rd	opouteke	0	3	0	0	0	0
498	10	wells rd	pakotai	0	3	0	0	0	0
500	10	travers rd	opouteke	0	3	0	0	0	0
501	10	travers rd	opouteke	0	3	0	0	0	0
502	10	travers rd	opouteke	0	3	0	0	0	0
503	10	opouteke rd	pakotai	0	3	0	0	0	0
504	10	mahuta rd	mahuta	0	3	0	0	0	0
505	10	mahuta gap rd	mahuta	0	3	0	0	0	0
506	10	mt wesley coast rd	mahuta	0	3	0	0	0	0
507	10	mahuta rd	mahuta	0	3	0	0	0	0
508	10	waihue rd	kairara	0	3	0	0	0	0
509	10	okaharau rd	pakotai	0	3	0	0	0	0
510	10	tangowahine valley rd	tangowahine	0	3	0	0	0	0
511	10	tangowahine valley rd	tangowahine	0	3	0	0	0	0
512	10	tararua rd	opouteke	0	3	0	0	0	0
513	10	travers rd	opouteke	0	3	0	0	0	0
514	10	haast rd	kairara	0	3	0	0	0	0
515	10	tangowahine valley rd	tangowahine	0	3	0	0	0	0
516	10	tangowahine valley rd	tangowahine	0	3	0	0	0	0
517	10	mahuta rd	mahuta	0	3	0	0	0	0
518	10	mahuta rd	mahuta	0	3	0	0	0	0
519	6	mcconnachie rd	mamaranui	0	3	0	0	0	0
520	10	mcconnachie rd	mamaranui	0	3	0	0	0	0
521	6	mcconnachie rd	mamaranui	0	3	0	0	0	0
522	10	mt wesley coast rd	mahuta	0	3	0	0	0	0
524	10	mcinnes rd	awarua	0	3	0	0	0	0
525	10	henley rd	awarua	0	3	0	0	0	0
526	10	jasmine rd	awarua	0	3	0	0	0	0
527	10	jasmine rd	awarua	0	3	0	0	0	0
528	10	waihue rd	kairara	0	3	0	0	0	0
529	10	waimata rd	mamaranui	0	3	0	0	0	0
531	10	kearney rd	pakotai	0	3	0	0	0	0
532	10	kearney rd	pakotai	0	3	0	0	0	0
533	10	kearney rd	pakotai	0	3	0	0	0	0
534	10	middleton rd	mamaranui	0	3	0	0	0	0
535	10	crocus rd	awarua	0	3	0	0	0	0
536	10	crocus rd	awarua	0	3	0	0	0	0
537	10	crocus rd	awarua	0	3	0	0	0	0
539	10	hokonui rd	pakotai	0	3	0	0	0	0
540	10	hokonui rd	pakotai	0	3	0	0	0	0
541	10	hokonui rd	pakotai	0	3	0	0	0	0
542	10	okaharau rd	pakotai	0	3	0	0	0	0
543	10	opouteke rd	pakotai	0	3	0	0	0	0
544	10	kearney rd	pakotai	0	3	0	0	0	0
545	10	kearney rd	pakotai	0	3	0	0	0	0
546	10	jasmine rd	awarua	0	3	0	0	0	0
547	10	mt wesley coast rd	mahuta	0	3	0	0	0	0
548	10	hilliam rd	mahuta	0	3	0	0	0	0
549	10	hokonui rd	pakotai	0	3	0	0	0	0
550	10	hokonui rd	pakotai	0	3	0	0	0	0
551	10	tangowahine valley rd	tangowahine	0	3	0	0	0	0
552	10	scottys camp rd	parore	0	3	0	0	0	0
553	10	tulip rd	awarua	0	3	0	0	0	0
554	10	jasmine rd	awarua	0	3	0	0	0	0
555	10	tulip rd	awarua	0	3	0	0	0	0
556	10	jasmine rd	awarua	0	3	0	0	0	0
557	10	tulip rd	awarua	0	3	0	0	0	0
558	10	mt wesley coast rd	mahuta	0	3	0	0	0	0
559	10	kearney rd	pakotai	0	3	0	0	0	0
560	10	kearney rd	pakotai	0	3	0	0	0	0
561	10	kearney rd	pakotai	0	3	0	0	0	0
562	10	waihue rd	kairara	0	3	0	0	0	0
563	10	middleton rd	mamaranui	0	3	0	0	0	0
564	10	takitu rd	pakotai	0	3	0	0	0	0
565	10	takitu rd	pakotai	0	3	0	0	0	0
566	10	waimata rd	mamaranui	0	3	0	0	0	0
567	6	ha ha rd	pakotai	0	3	0	0	0	0
568	10	kaweka rd	opouteke	0	3	0	0	0	0
569	10	kaweka rd	opouteke	0	3	0	0	0	0
570	10	biddles rd	opouteke	0	3	0	0	0	0
571	10	okaharau rd	pakotai	0	3	0	0	0	0
572	10	waihue rd	kairara	0	3	0	0	0	0
573	10	kepler rd	pakotai	0	3	0	0	0	0
575	10	okaharau rd	pakotai	0	3	0	0	0	0
576	10	roberts rd	pakotai	0	3	0	0	0	0
577	10	hrstich rd	parore	0	3	0	0	0	0
580	10	parore west rd	parore	0	3	0	0	0	0
581	10	mahuta rd	mahuta	0	3	0	0	0	0
582	10	waimatenui rd	nukutawhiti	0	3	0	0	0	0
583	10	jasmine rd	awarua	0	3	0	0	0	0
584	10	jasmine rd	awarua	0	3	0	0	0	0
585	10	biddles rd	opouteke	0	3	0	0	0	0
586	10	biddles rd	opouteke	0	3	0	0	0	0
587	10	takitu rd	pakotai	0	3	0	0	0	0
588	10	takitu rd	pakotai	0	3	0	0	0	0
589	10	waihue rd	kairara	0	3	0	0	0	0
590	10	takitu rd	pakotai	0	3	0	0	0	0
591	10	takitu rd	pakotai	0	3	0	0	0	0
594	10	hackett rd	mamaranui	0	3	0	0	0	0
595	10	waimata rd	mamaranui	0	3	0	0	0	0
596	10	notorious west rd	mahuta	0	3	0	0	0	0
597	10	mahuta rd	mahuta	0	3	0	0	0	0
598	6	takitu rd	pakotai	0	3	0	0	0	0
599	10	takitu rd	pakotai	0	3	0	0	0	0
600	10	takitu rd	pakotai	0	3	0	0	0	0
601	10	manning rd	parore	0	3	0	0	0	0
602	10	parore west rd	parore	0	3	0	0	0	0
604	10	otaenga rd	awarua	0	3	0	0	0	0
605	10	adams rd	awarua	0	3	0	0	0	0
606	10	otaenga rd	awarua	0	3	0	0	0	0
607	10	waihue rd	kairara	0	3	0	0	0	0
608	10	opouteke rd	pakotai	0	3	0	0	0	0
609	10	station rd	dargaville	0	3	0	0	0	0
610	6	baylys coast rd	baylys beach	0	3	0	0	0	0
611	10	coronet rd	pakotai	0	3	0	0	0	0
612	10	coronet rd	pakotai	0	3	0	0	0	0
613	10	coronet rd	pakotai	0	3	0	0	0	0
614	10	station rd	dargaville	0	3	0	0	0	0
615	10	waimata rd	mamaranui	0	3	0	0	0	0
616	10	mahuta rd	mahuta	0	3	0	0	0	0
617	10	parore west rd	parore	0	3	0	0	0	0
618	5	mangakahia rd	awarua	0	3	1	0	0	0
619	5	mangakahia rd	awarua	0	3	1	0	0	0
620	10	tokawhero rd	awarua	0	3	0	0	0	0
621	5	mangakahia rd	awarua	0	3	1	0	0	0
622	10	skippers rd	pakotai	0	3	0	0	0	0
623	10	otira rd	pakotai	0	3	0	0	0	0
624	10	otira rd	pakotai	0	3	0	0	0	0
625	10	segedin rd	dargaville	0	3	0	0	0	0
626	10	mt wesley coast rd	dargaville	0	3	0	0	0	0
627	10	skippers rd	pakotai	0	3	0	0	0	0
628	10	otira rd	pakotai	0	3	0	0	0	0
629	10	biddles rd	opouteke	0	3	0	0	0	0
630	10	winters rd	opouteke	0	3	0	0	0	0
631	10	glenrob rd	kairara	0	3	0	0	0	0
632	10	haast rd	kairara	0	3	0	0	0	0
633	10	waihue rd	parore	0	3	0	0	0	0
634	10	waihue rd	parore	0	3	0	0	0	0
635	10	opouteke rd	pakotai	0	3	0	0	0	0
636	10	waihue rd	parore	0	3	0	0	0	0
637	10	waihue rd	waihue	0	3	0	0	0	0
638	10	waihue rd	waihue	0	3	0	0	0	0
639	10	nichols rd	mamaranui	0	3	0	0	0	0
640	10	waihue rd	kairara	0	3	0	0	0	0
641	10	biddles rd	opouteke	0	3	0	0	0	0
642	10	winters rd	opouteke	0	3	0	0	0	0
643	10	waihue rd	waihue	0	3	0	0	0	0
644	10	waihue rd	waihue	0	3	0	0	0	0
646	5	mangakahia rd	nukutawhiti	0	3	1	0	0	0
647	5	mangakahia rd	nukutawhiti	0	3	1	0	0	0
648	6	baylys coast rd	baylys beach	0	3	0	0	0	0
649	2	state highway 12	kaihu	0	5	3	0	0	0
650	6	station rd	dargaville	0	3	0	0	0	0
651	2	colville rd	dargaville	0	5	3	0	0	0
652	10	waihue rd	waihue	0	3	0	0	0	0
654	10	waihue rd	waihue	0	3	0	0	0	0
658	10	waihue rd	waihue	0	3	0	0	0	0
