NodeID	RoadID	NodeID	RoadID	NodeID
16722	22880	16805	22880	16722
16932	24006	16841	24005	16926
16904	23999	16854	44101	16795
16904	23999	16854	23999	16904
16983	44101	16854	44101	16983
16836	23999	16854	23999	16836
16795	44101	16854	44101	16795
16907	23954	16925	42760	16874
16925	24105	16941	23999	40936
43298	24117	16941	24105	16925
16932	23740	16957	43741	16992
43513	23740	16990	23740	43513
43513	23740	16990	116	16926
40465	24075	17014	24218	17044
17013	24075	17014	24218	17044
17044	24218	17014	24075	40465
40465	24075	17040	24116	16941
17157	24254	17116	24397	17141
17130	42983	17118	24204	17051
17604	24940	17553	42919	17543
17554	42919	17553	24940	17604
17571	24973	17584	24774	17415
17415	24774	17584	24997	17590
17811	42649	17731	42777	42473
42471	44050	17763	42795	42470
17835	25262	17870	25397	17936
42469	42906	17994	25543	17965
18795	42667	18699	26388	18518
18518	26388	18699	42667	18582
19040	26897	19079	42962	42340
19183	42962	19112	27170	19056
19056	27170	19112	42962	19094
19178	27347	19207	42649	19295
19345	27591	19449	42649	43905
43905	42649	19449	27591	19345
19643	28200	19750	28091	19565
19889	28399	19875	42840	19939
42605	42840	19875	28399	19889
42652	29968	20941	29392	20747
20988	29392	20941	29968	42652
20747	29392	20941	29968	42652
21350	42881	21042	30450	21017
21349	31622	21415	30606	21372
993420	31622	21477	30685	21421
22326	32050	22319	31076	22183
22402	31076	22319	32050	22326
22499	31623	22585	32369	22629
22530	32369	22585	31623	22499
23967	42830	23947	34566	23978
24893	44387	24922	34327	24996
41521	34327	24922	44387	24893
41912	44584	25044	25192	25072
17604	25012	38398	43821	17639
17604	25012	38398	42801	17613
17760	42801	38398	25012	17604
17639	43821	38398	25012	17604
8764	12326	38641	42969	31437
38640	12326	38641	42969	31437
40705	44800	38756	44800	40705
38755	43046	38756	44800	40705
38755	43046	38756	43046	38755
10627	44800	38756	43046	38755
10627	44800	38756	44800	10627
13271	44198	38775	18954	13141
39853	43574	39824	16003	38748
38746	16003	39824	43574	39853
39858	43596	39856	43037	39861
38738	43037	39856	43596	39858
16320	42985	40796	42985	16320
40797	44100	40796	42985	16320
15911	42985	40796	42985	15911
38852	44103	40798	44103	38852
24750	35837	40799	35837	24750
24581	36321	40800	36321	24581
24581	36321	40800	36321	24581
16533	22983	41319	23184	16226
41329	24219	41328	24535	41329
41769	44492	41768	43577	41747
9492	13577	41906	13220	9547
9366	13436	41907	13220	9390
42350	44838	42353	43124	42354
42354	43124	42353	44838	993328
43425	45464	43424	45370	993422
993422	45370	43424	45370	993422
43514	45507	43513	45511	43514
43508	45512	43513	23740	16990
43513	45511	43514	45507	43513
16926	24106	43514	45507	43513
24871	36659	43804	45698	37332
37332	45698	43804	36659	43807
993338	45982	993316	33531	37314
993336	45981	993318	33531	42557
993354	46000	993352	44372	22821
993363	43613	993364	44667	993319
993372	46011	993373	43029	38728
43425	23259	993422	45370	993424
43125	22768	993424	45370	16379
993422	45370	993424	22768	993423
